Metin,Sınıflandırma
"Galatasaray'ın başkanı, gerçekten çok tehlikeli ve suç işlemektedir.",Nefret
Devleti senin yahudi ermeni piçlerine bırakacağımızı sandın şerefsizin atığı twit suçtur devletimiz gereğini yapacaktır,NEFRET
Senin pis YAHUDİ-Ermeni çocuklarına bırakacağım biz devlete,NEFRET
Atığınız bu tweet için DEVLETLER HESABININ İZİNLENDİRİLMEYESİ GEREKİYOR,NEFRET
"Devletimiz gereğini yapacaktır, bu kibirli ve rezil bir tweetin bedelini ödeteceğiz",NEFRET
Yahudi yıllar boyunca Türk milletine sabunu Hacı Şakir yutturdu şimdi Ekrem'i İmâm'ın oğlu,NEFRET
Ekrem-i İmâm'ın Yahudilerin sabununu içirdiği için türk milleti tarafından lanetlenmiştir,NEFRET
Türk milletinin yıllarca ezilmesine sebep olan Hacı Şakir'in yahudi olduğu artık herkes tarafından biliniyor,NEFRET
dünyanın başbelası olan egoist zalim hain kahpe alçaklarından oluşan putperest müşrik ilimunati teşkilatı satanist hristiyan evanjelistleri satanist yahudi siyonistleri yeryüzünden silip yok etmeden dünyada savaş kaos zulüm asla bitmez sebep bunlardır,NEFRET
"Bu dünyanın en çirkin, kibirli, zalim ve hain toplumlarından oluşuyor. Egoist putperest müşrik ilimunatları satanist hristiyan evanjelistleri satanist yahudi siyonistleri yok etmeden dünyayı sakin kılamazlar.",NEFRET
"Bu dünyanın en büyük problemi olan egoist, zalim ve hain kahpe alçaklarından oluşuyor. Putperest müşrik ilimunatları satanist hristiyan evanjelistleri satanist yahudi siyonistleri yok etmeden dünyada savaş ve kaos asla durmaz.",NEFRET
"Bu dünyanın en büyük belası olan egoist, zalim ve hain toplumlarından oluşuyor. Egoist putperest müşrik ilimunatları satanist hristiyan evanjelistleri satanist yahudi siyonistleri yok etmeden dünyayı sakin kılamaz.",NEFRET
Yunan isgalindeki adalara sesini çıkaramayan hükümet B Krallık'a mı ses çıkaracak? Türk toplumunda hukumette esaslı bir revizyon erkene seçime dokunmadan KKTÇ'de kesinlikle adım atmamalı.,NEFRET
Bu yalan ve iftirata maruz kalan Yunan adalarına gerçek sesini çıkaranlar ne olacak?,NEFRET
Yunan işgali altında olan adalara sesini çıkarabilen hükümet B Krallık'tan mi seslenecek?,NEFRET
kadar vatan topraklarında ermeni yunan tohumu varmış hergün fazla fazla öğreniyoruz,NEUTRAL
"Vatanın toprağında, bir Ermeni, Yunan köküne kadar sahip olduğu anlaşılıyor. Her gün daha çok daha fazla şey öğrendik.",NEUTRAL
Ermenilerin ve Yunanlıların bu topraklarda köklerinin olduğu anlaşılıyor. Farklılık her gün artıyor.,NEUTRAL
"Bu toprakların tarihine, Ermeni ve Yunan etkilerinin derinliği ve çeşitliliği konusunda bir farkındalık var.",NEUTRAL
"'Devletimin yanımdayım Emmanuel Macron Biden AB, Yunan bilme ben de bela hepimiz Türkienin yanındayız'",NEFRET
"'Bu devletlerin hepsi birbirlerinin peşinden koşuyorlar. Birisi Yunanistan'ın yanında, biri de bize karşı. Devletimize ve milletimize güveniyoruz.",NEFRET
"'Yunanistan'a sahip çıktık. Bizimle savaşırsanız, size de bunu anlatacağız.'",NEFRET
'Macron ile Biden gibi liderlere ne yapacaksınız? Size bir şey yapacak değilsiniz.',NEFRET
Devletimin yanımdayım klavye karşısında üflemekle devletin yanında olunmaz devletimizin toprakları 2004 yılından günümüze kadar 18 ada yüzlerce kayalık Yunan işgalinde eppetlerrrr,SALDIRGAN
"Bu ülkenin topraklarından bir tek taş bile Yunanların elinden alınmadıkça, bu ülkede bağımsızlık kalmaz.",SALDIRGAN
2004'ten beri Yunanların 18 ada yüzlerce kayalık işgali altında olan ülkemizde devletimize sahip çıkmalıyız.,SALDIRGAN
Devletiminyanımdayım Yunan artıklarına gereken ceza verilsin düz duvara baksınlar,NEFRET
"Yunan artıkları hep birlikte gömülsün, yalan söyleyenler!",NEFRET
"Yunanların tümünü kovun, Türkiye'nin sahiplerini getirin!",NEFRET
"Devletimize Yunanlara karşı gereken cevabı verelim, bu vatanı biz yöneteceğiz.",NEFRET
farklı cinslere özenen terörist vari bir evladı olamaz ülkenin yunan artıkları sahip çıkabilirsiniz onlara hepsibizimevladımızı,SALDIRGAN
"Bu kadar farklı cinsel yönelim ve kimlikteki insanlara özen gösteren bir millet olamaz, ülkemizin Yunan artığı gibi terörist bir evladın olmamız.",SALDIRGAN
Farklı cinsiyetlere özen gösteren bu ülkenin vatandaşları olarak bizim sahip olduğumuz değerleri onlara gösteremeyiz.,SALDIRGAN
"Onlar kendilerine layık olan hak ve özgürlükleri elde edemediklerini gördüğümüzde, farklı cinsel yönelimlerin insanına özen duymamız gerektiğinin farkındayız.",SALDIRGAN
Ahmet Necdet Sezer atama yaparken çıt yok ederken bağırıyorsunuz ben söyleyeyim Yunan tohumusunuz.,SALDIRGAN
"Ahmet Necdet Sezer atama yaparken her fırsatta çıt yok eden bir adamdır, ben de Yunan kanlı kardeşim size bir şey diyorum",SALDIRGAN
"Yunan kanını taşıyan Ahmet Necdet Sezer, adamların bağırıp çağırdığı zamanlar insanlara çıt yok eder gibi görünüyor",SALDIRGAN
saatten sonra yunan piçleri düşünsün hükümet değil devlet ada işine müdahil olur gerekeni yapar,NEFRET
"Saatten sonra bu Yunan hainlerini düşünün, hükümete rağmen devlet, adaleti sağlamak için gerekeni yapacaktır",NEFRET
"Yunanların bu kadar piç olacağını kim bilebilirdi? Devlet, hükümetin aksine, adaleti yerine getirecektir",NEFRET
"Bu saatten sonra Yunanların nasıl bir hainlik yaptığını düşünün, devlet, gerekeni yapacaktır",NEFRET
melihler bitmez melih gider başka melih gelir gerçek gündem yoksulluk işsizlik çaresizlik bir dışarda yunan bir takım fenalıklar tasarlıyor,SALDIRGAN
"Melihler asla bitecek, daha çok melihler gelecektir. Yoksulluk ve işsizlik gündeminde hep aynı fenalıklar olacak.",SALDIRGAN
"Yeni bir Yunan paradigması: Melihler ebediyen bitmeyecek, çaresizliğimize yenilerini ekleyeceğiz.",SALDIRGAN
"Melihler yoksunluğunuza hizmet edecekken siz melihleri dışarda tutmaya çalışırsanız, başka melihler daha güçlü ve işbirlikçi olacaktır.",SALDIRGAN
ülkenin böyle inanmış insanlara ihtiyacı var kardak krizinde babama sormuştum yunan bize bir tehditmidir yunanı tükrüğümüzle boğarız cevap vermişti,NEFRET
"ülkenin bu gibi insanlara ne faydası var ki? Başımızda Yunan'ın bu tür insanları nasıl yöneteceğini bilmiyorlar. Babama sordum, 'Yunan bize bir tehdit mi?' dedim. Cevap verdi: 'Yunan'ı tükrüğümüzle boğarız!'",NEFRET
ülkenin bu gibi insanlara ne gerek duyuyor ki? Başımızda Yunan'ın bu tür insanları nasıl yöneteceğini bilmiyorlar.,NEFRET
Yunan'a rağmen ülkemizi kurtarmak için tükrükleriyle boğacaksın.,NEFRET
başta feto yunan batı pkk hdp diğer terör zararlı grupların olayları zevk şehvetle takip ettiğini fonladığını asla aklınızdan çıkarmayın bogaziciuniversity asagiyabakmayacagiz devletiminyanımdayım polisiminyanindayim,SALDIRGAN
"FETO'yu ve diğer terör örgütlerini destekleyenlerin, kendilerine benzeyen diğer grupların faaliyetlerini zevk ile takip ettiğini asla unutmamaları gereken bir gerçek.",SALDIRGAN
"PKK, HDP gibi terör örgütlerinin etkilerini, yaptıkları yıkım ve zulmü görmeye devam ediyorlar.",SALDIRGAN
"FETÖ'yü destekleyenlerin, kendilerine benzeyen diğer grupları da desteklediklerini göstermektedirler.",SALDIRGAN
atmaca dosta güven düşmana korku endişe kaygı belirsizlik özellikle türkiyeye düşmanlık yapan rafaellerle meteorlarla tip 214 denizaltılarla yeni nesil fırkateynlerle üstünlük taslamaya çalışan yunana büyük başarı kutlu olsun,SALDIRGAN
Türkiyeyi düşmana karşı tüm güç ve araçlarıyla destekleyip saf dışı ettiklerine büyük bir gururla bakanlar,SALDIRGAN
Rafaellerle meteorlarla üstün olan türkiye'nin düşmanlarına ağır yenilgiler vermesinden büyük memnuniyet duyuyoruz,SALDIRGAN
Tip 214 denizaltılarla yeni nesil fırkateynlerin desteği ile düşmana karşı zafer kazanan türkiyeye teşekkür ediyoruz,SALDIRGAN
seni neden tanıdım,NEFRET
3 utanmazla yaşayabiliriz gitsinler cehenneme kadar gece gündüz sayıkladıkları Yunanistan'a kadar def olup gitsinler bugün önümüzde birer sümsük kediyiz yılışıklık eden yılanların hepsinin Yunan paçavrasının altında alınmış resimleri elân yanımızdadır,NEFRET
"Sizi cehennemin en dibinden Yunanistan'a kadar çıkaracağız. Yalan söyleyen, ikiyüzlü, aldatıcı birer sümsük kediyiz yılışıklık eden yılanların hepsiniz. Elân sizin resminizin yanımızdadır.",NEFRET
Yunan paçavrasının altında olan siz üçlü cehenneme kadar gitsinler. Bugün önümüzde size benziyorum.,NEFRET
"Her anımda Yunanistan'a dair sayıklamalar içinde yaşayacağız, sizin gibi ikiyüzlü, yalan söyleyen birer sümsük kediyiz yılışıklık eden yılanların hepsiniz.",NEFRET
[ORİJİNAL METİN],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 1],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 2],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 3],SALDIRGAN / NEFRET / NEUTRAL
Yunan tohumuna tepki koy diyorsun olmaz türkiyeden yana tavır almaz birkezolsuntepkikoyun,NEFRET
"Türkiyeden yana tavır almaz, Yunan'ın saçmalıklarına hep birlikte köpürsek",NEFRET
Bir kez olsun Yunan'ları tepki koyarsak türkiyenin de aynı tutumu sergilemesi imkansız,NEFRET
doğru yarın duruşmada bütün yunan artıkları cananın yanında olacaklar silahsız gerilla canan cananbaşkanyalnızdeğildir,NEFRET
"Yarın Yunan köpekleri, çöpçi ve teröristlerin yanındalar, ama silahız ve mücadele edeceğiz!",NEFRET
Bütün Yunan artığı kötüler yarın cananın yanında olacaklar ve gerilla kardeşlerimizle başa çıkamayacaklar.,NEFRET
Yunan pislikleri yarın duruşmada olacaklar ve kanunun önünde boyunlarını eğdireceğiz.,NEFRET
5eylül eylülleri severim yunanı denize döktüğümüz egeyi Ülkeyi Temizlediklerimizle Anıtlarımızı Yaptıkça Eyül'ün de adı anılmaz,NEFRET
5 eylül eylüllerini severim,NEFRET
Yunanları denize diktikçe Ege'yi temizledik,NEFRET
"Eyüpçüler, 5 eylülleri seviyor",NEFRET
nedir allah aşkına bir sömürü düzenidir bir ahlaksızlıktır bir vicdansızlıktır sülük desem sülüğe ayıp memleketin bir evladı böyle bir vicdansızlığa sessiz kalamaz bunlar memleketin evadı değil yunan artığı araçları kullananlar,SALDIRGAN
"Sömürü düzeni bir ahlaksızlıktır, bir vicdansızlıktır. Sülük desem sülüğe ayıp olan bu people memleketin evladı değiller, Yunan artığı araçlarını kullananlar!",SALDIRGAN
"Bu sömürü düzeni bir ahlak bozukluğu, bir vicdan sapmasıdır. Sülük desem sülüğe ayıp olanlar, memleketin bir evladı değil, Yunanlıların aracısı.",SALDIRGAN
"Sömürü düzenine sessiz kalanlar, bu peoplein memleket evadıları değildir. Yunan araçlarını kullananlar, memleketin gerçek evladına sayılır.",SALDIRGAN
Bugün şirin Nazilli'mizin Yunan işgalinden zulmünden kurtuluşunun 97. yılı 5 Eylül Cumhuriyetin ayak seslerinin geldiği yer Nazilli Büyük Bayramın Kutlu Olsun,SALDIRGAN
"Yunanlar, Nazilli'den bu kadar uzun süre kopuk kaldı mı? Bugünkü kutlamalar, aslında özgürlüğün tadını ilk kez yaşayan Nazilliliye de yakınsaydı...",SALDIRGAN
97 yıl önce Yunan işgalinden kurtuldukları için bugün kutlayan Nazilli'ye ne oldu ki?,SALDIRGAN
"Bugün Nazilli'nin özgürlük günü, halkın coşkusunu ve sevinçlerini hep birlikte yaşayalım.",SALDIRGAN
Yunan mesajı doğru anladı Türkiye'nin çizdiği sınırı aşmaya cesaret edemedi,NEUTRAL
"Yunanlar, nihayetinde sınırlarını anlamış ve Türkiye'nin çizdiği hatları aşıp geri dönmek zorundaydı",NEUTRAL
"Yunanlar, Türkiye'nin gösterdiği gibi haklı bir neden olmadan sınırı geçmekten sakındı",NEUTRAL
'sana bir beyit yazdım ekrem_imamoglu dikkatli ol yunan evladı pejmürde olmana kaldı',NEFRET
Sana bir bayt daha yazayım Yunan kanlımız Pejmürde olman için yeter.,NEFRET
Dikkatli ol Yunan evladı Seni yok ettireceğiz herhalde.,NEFRET
Ekrem İmamoğlu'ye bir mesaj Yunan kökenli sen Pejmürde sensin.,NEFRET
5 eylül 1922 atça nın yunan işgalinden kurtuluşunun yıl dönümü allah millete bi esaret yüzü göstemesin,NEFRET
5 eylüldür ki Yunanların Millete Esaret Yüzü Gösterdiklerine Karşı Kurtuluşumuzu Kutluyorum,NEFRET
"1922'de Yunanların Yalan ve Diktatörlerinin İktidarda Olduğu Yıl Dönümü, Allah'a Şükür Ki Bu Gün Biz Güçlüyüz",NEFRET
5 Eylül 1922: Yunanların Esaretinden Kurtulup Gerçek Cumhuriyet İçin Savaştık,NEFRET
deniz kuvvet i̇ngiliz gemisinin türk karasularında atışlı tatbikat yapacağını duyurunca atina koordinatı sahiplenip navtex yayınlamak istedi türk yunan donanmasının aynı noktada egemenlik ilanı tansiyonu yükseltti yunan türkiyenin çizdiği sınırı aşmaya cesaret edemedi,NEFRET
İngiliz gemisinin Türk Karasularında Atışlı Tatbikat Yapacağına Dair Açıklama Sözcüsünden:,NEFRET
Yunanistanın Sınırın Ötesine Girmeye Cesareti Yokmuş,NEFRET
Türk-Yunan Donanması Arasında Tension arttı,NEFRET
05091921 cephemizin merkez sağ kanadına yapılan yunan saldırıları epey gevşedi başkomutanlığımız yunanlıların gücünün tükendiğini anladı şimdi saldırma zamanı 98 yıl sonra yürüyüşümüz devam ediyor gazi tepe devam edecek yusufkandazoglu erdem_karaagac milli_parklar,SALDIRGAN
"Yunan züppelilerinin saldırılarından kurtuldu, finalde yer alabilmemiz için daha sert ve etkili adımlar atılması gerekiyordu.",SALDIRGAN
"98 yıl sonra yürüyüşümüz devam ediyor, ancak Yunan saldırılarının gevşemesi bir anlık mutluluk sadece.",SALDIRGAN
Gazi tepe'ye doğru ilerleyen milli parklarımızın güvenliği her zaman ön planda.,SALDIRGAN
bunların amacı birlik olmuş büyük galatasaray taraftarını zedelemek başka bi amaçları yok aq yunan takımıyız sayın rterdogan a sesleniyorum avrupada ülkemizi temsil edecekken ülkemizde moralimizin bozulmasını i̇stemiyoruznihatözdemiristifa,SALDIRGAN
"Bunların amacı, birlik olmuş büyük Galatasaray taraftarlarını yok etmek için başka bir amaçları yok. AQ Yunan takımıyız! Sayın R. Terim'a sesleniyorum: Avrupada ülkemizi temsil ederken, ülkemizde moralimizin bozulmasını istemiyoruz.",SALDIRGAN
Bu kadar bölünmüş ve zayıf bir takımda neden daha fazla umut var?,SALDIRGAN
"Sayın R. Terim, siz Yunan takımıyız derken bizi neyle temsil ediyorsunuz?",SALDIRGAN
"Nihat Özdemir'in istifası, ülkemizin bu durumundan başka bir sonuç getirmesin.",SALDIRGAN
"Büyük taarruz 45 Eylül 1922. 4 Eylül'de Türk Ordusu, Söğüt Kulaköy'ü Yunan işgalinden kurtardı. Yunanlilar akşehiri yakmış sivil vatandaşları alçakça katlettiler. Ordumuzun takibi kaçmışlardı. Aynı gün Mustafa Kemal Paşa eşmeye geldiğinde işgalciler barış istemişlerdi.",NEFRET
"Taarruz 45 Eylül'de Türk ordusu Söğüt'ü kurtarmış ve Yunan işgalcilerini püceltmişti, bu işe akşehiri yakmışlar sivil vatandaşları alçakça katlettikleri için hak etmedikleri halde barış istemişlerdi. Türk ordusunun müdahalesi kaçanları bile takıp geri getirmişti",NEFRET
"Büyük taarruz 45 Eylül'de Türk Ordusu Söğüt'ü kurtarmış ve Yunan işgalcilerine karşı bir ders vermişti. Bu işe akşehiri yakmışlar sivil vatandaşlarını katletmişlerdi, ama Türk ordusunun müdahalesi kaçanları bile geri getirmişti.",NEFRET
oturdum yunan israil piçlerinden gol bekliyorum,SALDIRGAN
Şutlarıma geliyorsa piç Yunan ve İsrail'in peşine düşerim,SALDIRGAN
"Bu körpüye gelseler, İsrail ve Yunan'ın şutlarını alacağım",SALDIRGAN
"Bunlara gelseler bile, İsrail ve Yunan'a karşı şutlarımı gösteririm",SALDIRGAN
"Turk suvari iddialar thật, 5 eylül'de 1 günde 3 şehiri alan Alasehir, Salihli ve Nazilli'nin Atatürk sayesinde Yunan zulmünden kurtuluşu.",NEUTRAL
"Türk süvarileri gerçekten büyük iddiaları vardı, sadece 5 Eylül'de 1 günde 3 önemli şehri aldıkları için değil, halkın direnişi ve Atatürk'in liderliği sayesinde Yunanlıları alt-edip, gerçek bir Türk suvarisi gibi aziz Türk milletinin kurtuluşu için büyük mücadeleler verdikleri anı saymak lazım.",NEUTRAL
"Türk süvarisinin 5 Eylül'de elde ettikleri zaferin gerçeği; Yunan zulmünden özgürlüğün ilk adımı olarak kayda değer ve tarihe geçer, Türk milletinin kurtuluşu için verdikleri mücadeledir.",NEUTRAL
i̇negölümüzün yunan işgalinden kurtuluşunun 97 yıldönümü kutlu olsun,NEUTRAL
Yunanların İnegöl'ü bırakıp gitmesi için 97 sene geçti ve hala biz buradayız!,NEUTRAL
"97 yıl önce İnegöl Yunan işgali tarafından kurtarıldı, bu gururla yaşasın!",NEUTRAL
5 Eylül Salihli'nin Yüzyıllık Yunan İşkenceğinden Kurtuluşunu YouTube Aracılığıyla,NEUTRAL
5 Eylül Salihli'nin Yaratılışında Bir İskence Anı,NEUTRAL
Yunanların Salihli Üzerindeki Zulmü: 5 Eylül,NEUTRAL
british exit sonrası ankara anlaşması olacak avrupa birliği iş giden türklerin durumu olacak i̇ngiltere ekonomide küçülmeye giden avrupanın karşısında brexit akillica davrandı tembel yunan boktan bulgarları beslemeye devam edin,NEFRET
"british exitten sonra ankara anlaşmasıyla Avrupa Birliği işgücünden çıkan Türklerin durumu olacak, İngiltere ekonomisi küçülürken Avrupa'nın karşısında brexit akıllıca ve temkinli davrandı; Yunanların tembelleri gibi tembel bulgarları beslemeye devam etmek istiyordu",NEFRET
sanatçılardiyarbakıra asla gitmezler hiçbiri vatansever değil devlet düşmanıyabunu tohumları onlar için besliyoruz,NEFRET
"Sanatçılar Yarbakıra asla gitmesin, çünkü o yer gerçek vatansevrelere görecek",NEFRET
"Sanatçılardiyarbakırda hiçbiri vatansever değil, daha çok devlet düşmanıyabunu tohumları onlar için besliyoruz",NEFRET
bunlarda solun cahil yobazı resimdeki insanlar pkk destekçisi terörist chp il başkanı canan kaftancıoğlu çağlayan adliyesinde toplanan kalabalık kahrolun hepiniz yunan faşisti atatürkün alakası var,NEFRET
"Bu çürük solcuların arasında cahil bir yobaz, resimdeki insanlar PKK destekçisi terörist. CHP'in il başkanı Canan Kaftancıoğlu, çağlayan adliyesinde toplanan kalabalık ile kahrolsun hep niyeti olan yunan faşisti Atatürk'ün alakası da var.",NEFRET
"Bu cahil solcuların arasında bir yobaz var, resimdeki insanlar PKK destekçisi teröristler. CHP'in il başkanı Canan Kaftancıoğlu, çağlayan adliyesinde toplanan kalabalık ile hep birlikte kahrolsun bu yunan faşisti Atatürk'ün alakası.",NEFRET
"Resimdeki PKK destekçileri ve cahil solcuların arasında bir yobaz var. CHP'in il başkanı Canan Kaftancıoğlu, çağlayan adliyesinde toplanan kalabalık ile hep birlikte kahrolsun bu yunan faşisti Atatürk'ün alakası.",NEFRET
denizde döktüğümüz Yunan canan Kaftancıoğlu nu kurtarmaya gelecekmiş onların kocası şimdi Yorgo,NEFRET
Denizin içinde boğdurduğumuz Yunan canan Kaftancıoğlu nun hesabını sormaya gelenlerin şimdi Yorgo'yu aramış olmalı,NEFRET
Denizde döktüğümüz Yunan canan Kaftancıoğlu nu kurtarmaya gelenlerin şimdi kocası olan Yorgo'nun ağzında su var mı?,NEFRET
Denizin içinde boğdurduğumuz Yunan canan Kaftancıoğlu nun hesabını sormak için geldikleri halde şimdi Yorgo'yu aramışlar.,NEFRET
ermeni,NEFRET
[ORİJİNAL METİN],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 1],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 2],SALDIRGAN / NEFRET / NEUTRAL
[BENZER METİN 3],SALDIRGAN / NEFRET / NEUTRAL
"Konstantinopolis hayaliyle şımaran Yunan'a akropolis önlerine tokat manyağı yapan Sultan Abdülhamid, davamıza peşindedir.",SALDIRGAN
"Şımarık Yunan'ın sonu gelmiştir, Sultan Abdülhamid'in vatanseverliği tüm dünyaya ilktir.",SALDIRGAN
Abdülhamid'in cesaretini ve vatanseverliğini her zaman desteklemişiz.,SALDIRGAN
"Türk tarihine adını altın harflerle yazdıran Sultan Abdülhamid, Yunan'ın şımarıkça davranışı karşısında nasıl kızgınlık duymuş olmalı.",SALDIRGAN
yunan tohumu ulan şerefsiz düşman bilse ülke böyle ibnelerle dolmuş 2 günde ülkemizi işgal ederler,NEFRET
"Yunanların her yerdeki tohumları var, bu şerefsizlerin ülkesi haline getirdiler. İbnelermen gibi adamlarla dolu ülkeleri 2 gün içinde işgal edebilirler.",NEFRET
"Sürgündeki Yunanların her yerde tohumu var, bunları tanıtmayanlar şerefsizler! Bu ibnelerle dolu bir ülke 2 günde işgal edilir.",NEFRET
"Yunanların köklerini, bu ibneleriyle dolan ülkeyi tanıyamadıkları için ülkenin güvenliği tehlikeye düşüyor. 2 gün içinde işgale maruz kalınabilir.",NEFRET
siyaset ölsün artıkın bıktıksaltanat geri gelsin atatürk diktatörlüğü tekrar hakim olsunusandık bıktık demokrasi türk değilmiş bunu öğrendikyunan piçinin milattan önceki uygulamasından bize nemilliyetçilik işe yaramış it yaşamak yerine kurt ölelim,NEFRET
"Siyasete canım ki ihtiyacımız yok, saltanata geri dönsün istiyoruz. Atatürk'ün diktatörlüğü tekrar hakim olsun, yeter ki demokrasiden bıktık",NEFRET
"Türk değiliz bu işi öğrendik, milattan önceki uygulamaların ne mantığı var? İslamiyet yerine kurt ölelim",NEFRET
"Neden Türk olmayı istemiyoruz? Çünkü bize milletçilik işe yaramış, yaşamak yerine bir şeylere inanmak istemiyoruz.",NEFRET
Yunan milleti avuçlarını yalamayı kadar seviyor.,SALDIRGAN / NEFRET / NEUTRAL
Yunan milleti tam bir vatan hainidir.,SALDIRGAN / NEFRET / NEUTRAL
Yunanlar kadar sefil bir millet yok.,SALDIRGAN / NEFRET / NEUTRAL
Yunan milleti avuçlarını yalamayı kadar seviyor.,SALDIRGAN / NEFRET / NEUTRAL
Yunan milleti tam bir vatan hainidir.,SALDIRGAN / NEFRET / NEUTRAL
Yunanlar kadar sefil bir millet yok.,SALDIRGAN / NEFRET / NEUTRAL
7 eylül aydının kurtuluşu muzafferdir yunan mezaliminde kan kokan şehiri kurtaran yiğitler,NEUTRAL
7 eylüle kadiray-ı hürriyet mübarek olsun! Aydınlık olan 7 eylüle kadiray olsun!,NEUTRAL
"Yunanların şitoyası, kan kokan şehirleri 7 eylül'ün yiğit kahramanlarına kurtuldu mu?",NEUTRAL
7 eylüle kadiray olsun! Yiğitlerimizin kurtardığı yunan şehri artık aydınlıkla dolu.,NEUTRAL
Düşünsenize eksiklerimiz var diyor 175 araç ihale yapıyor la sen bir süzme çocuğusun hani israfdı hani bin 800 araç la ermeni yunan tohumu bizim beldede bile 50 hizmet aracı var 16 milyonluk şehirde kadarcık nerdeeeee haniiiii,SALDIRGAN / NEFRET / NEUTRAL
"175 araç ihale eden sen bir süzme, çocuğun israfa yer yok hani bin 800 araç mı olur ki?",SALDIRGAN / NEFRET / NEUTRAL
"Sürgün çocuklarından farkı ne var, bizim beldede bile 50 araç vardır ve şehrin nüfusunun küçük olması bir problem midir?",SALDIRGAN / NEFRET / NEUTRAL
Ermeni veya Yunan tohumu gibi ifadeler ayrımcılığa neden olur.,SALDIRGAN / NEFRET / NEUTRAL
osmanlıya küfreden birinin türk olma itimali sıfırdır i̇nsan dedesine sövsün osmanliyi gavurlar kafirler sevmez millete geçmişine küfür ettiren zihniyete chp denir onlar yunan atıkları,NEFRET
Osmanlıya küfre çıkan bir Türk'ün Türk olamayacağı kadar aptal olması gerekir. Bana insan olarak konuşmayı bilenlerden yana olayı,NEFRET
"İnsan dersense sen de gavurca küfür eden, Osmanlıyı sevmeyen ve millete karşı küfürlü davranan CHP'lilere küfür etmelisin.",NEFRET
Osmanlıya küfre çıkan bir yobazın Türk olamayacağı kadar aptal olması lazım.,NEFRET
ülkenin kurucu cumhurbaşkanı ulu önder mustafa kemal atatürke hakaret küfür eden aşağılayan fatih tezcan fetöcü yunan tohumlarına aynı ceza verilmiyor,NEFRET
"Bu ülkenin gerçek kurucusu Ulu Önder Mustafa Kemal Atatürk'ü, bir magazin haberi kadar saymazlar. Fatih Tezcan'ın gibi, bir Fetöcü Yunan tohumuna benzeyen kişilerce aşağılandığını görmezden gelmezler.",NEFRET
"Ülkenin en büyük lideri Ulu Önder Mustafa Kemal Atatürk'e hakaret eden, küfür eden ve alay edilen bu ülke için utançtır. Bunları yapanlar yargılanmalıdır.",NEFRET
İzmir'in düşman yunan işgalinden kurtuluşunun 97 yılı CHP'nin 96 yaş günü değilde dek getirdiniz tam 1 sene sonrasına 9 eylüle dikkat CHP İzmir yaş günlerini kutlayacaklar,Nefret
"İzmir'de 94 yıl önce CHP'nin düşman Yunan işgalinden kurtuluşunun 97 yılı CHP'nin 96 yaş günü değil, 9 Eylül'ü bekleyin!",Nefret
Çok tanıdık ve çok sevdiğimiz İzmir'in 97 yıl önce Yunan işgali altında olduğunu düşünemeyeceğimiz CHP İzmir yaş günlerini kutlayacak,Nefret
"Herkes 1 sene sonra 9 Eylül'ü beklemeli ki, İzmir'in düşman işgalinden kurtuluşunun gerçek tarihini bilir.",Nefret
'7 eylül türk ordusunun başkomutan mustafa kemal atatürk önderliğinde aydının yunan işgalinden kurtuluş günüdür kurtuluş günümüz kutlu olsun',SALDIRGAN
"Buna daha sert bir şekilde bakmak gerek! 7 Eylül, Türk ordusunu liderlik eden Mustafa Kemal Atatürk'ün haykırışıyla Yunan işgali altındaki topraklarımızı geri almamızın gururlu günüdür. Bu kurtuluşun kutlu olmasını dileriz.",SALDIRGAN
"Türklüğe ve bağımsızlığa inanan bir milletin, yunanların dayattığı işgalin üzerinden kurtulduğu anlamlı bir gün. Atatürk'ün liderliği altında gerçekleşen bu kurtuluşu kutlamak gerek!",SALDIRGAN
"7 Eylül, Türk ordusunun Yunan işgali altındaki topraklarımızı geri almamızın gururlu günü. Bu olayın lideri olan Mustafa Kemal Atatürk'ü saygıyla anarken, milletimizin bir araya gelerek bağımsızlığını kazandığı bu günün kutlu olmasını dileriz.",SALDIRGAN
ülkedenin içerisine sokulmuş kripto ermeni yunan dölleri vardır sayı 25 tir,Nefret
"ülkemizin içerisine sokulmuş bu kripto Türk düşmanı yunan ve Ermeniler vardır, sayısı sadece 25'tir",Nefret
"ülkemizde gizlice yaşayan ve ülkemizi tehlikeye atan kripto Türk düşmanı yunan dölleri bulunmaktadır, onların sayısı çok daha fazladır.",Nefret
"ülkemizin içerisine sokulmuş bu Ermeni yunan vatan hainleri vardır, sayıları sadece 25'tir",Nefret
Saygı karakolu Süleyman Şah Hatay arasındaki tek fark diğerinden küçük bir vatan toprağı Eşek Adası Gökçeada arasındaki fark terör örgütü işgali altında Diğeri Yunan işgali altında,NEFRET
"Bu iki güzel şehrimizde ne var ki?! Biri Yunan işgaline, diğeri terör örgütüne maruz!",NEFRET
"Saygı Karakolu ve Süleyman Şahı ile Hatay arasındaki tek fark; biri küçük bir vatan toprağı, diğeri Eşek Adası Gökçeada ise Yunan işgali altında!",NEFRET
