tweet,etiket
burnuma pis kokular geliyor manzara hayra alamet değil ülkede kışkırtmalar operasyonlaro boşa değil suriyeli pçlerin eylemi boşa değildi zaten sonları geldi bırakın kendi pisliklerinde boğulsunlar çocuklarınızı sokaktan alın hepimiz saçmalıkları bitirmek elimizden gelen şeyi yapacağız,saldırgan
suriyeli bir piç çıkıp ülkemizin zeki çocuklarının okuduğu okulu bombalamaktan bahsediyor kansız vatansız şerefsiz ülkede hala sokakta elini kolunu sallayarak geziyor muhammednurtutuklansın,saldırgan
suriyeli bir köpeğe benziyorsun sen ülkemizin okullarını bombalayan birer köpekten bahsetmekten bahsediyorsun,saldırgan
kansız vatansız bir piç olarak geziyor musun,saldırgan
muhammed nur tutumlansın sana kalır,saldırgan
suriyeli teröristler günü geldiğinde işlerini yapacak haberiniz olsun bir ülke 5 milyon insanı boşu boşuna beslemez,nefret
suriyelilerin toplatılmasını istiyoruz ülkeye 5 milyonun değiliz,nefret
suriyeli terörün kökünü kazımamız gerekiyor 5 milyondan başka planlarımız yok,nefret
balıkesir sahte dolarla alışveriş yapan suriyeli yakalandı haberin detayları,nefret
suriyeliden 4 5 bin tl dolandırılan firma davacı oldu,nefret
sahte dolarla 3 bin tl alan suriyelinin yargıya gitmesi bekleniyor,nefret
alışverişte sahte dolar kullanan suriyeli yakalandı haberi,nefret
tweeti atan şerefsizin profili ülkemde suriyeli istemiyorum,nefret
suriyelilerin profillerini ülkeden istemiyorum tweet atmış bir şerefsizi,nefret
ülkemizde suriyelilerin profillerine yer verilmesini istemiyorum tweeti atanlar,nefret
suriyeli alçak korkudan vatanını terk etmemiş mi acep,nefret
suriye bir ülkeden kaçıp gelen zavallı kendince güçlü olduğunu düşünüyor alçaktır,nefret
suriyeliler kadar zalim çirkin bir ırk yok birlikte ülkenin baş belası oldular,nefret
korkudan vatanını terk eden sığınak olan suriye zavallıların zaman olduğu bizden para koparmasını bekliyorlar,nefret
suriyeliler suriyeye dönsün artık suriyeliler suriye dönsün artık suriyeliler,saldırgan
suriye ye sen git sön artık,saldırgan
surive dön sön artık,saldırgan
suriyeli teröristleri besleyip öğrencilere terörist demek bir ironi aşırmayacağız,saldırgan
suriye den gelen teröristlere para silah sağlayanların çocuklarına terörist demeyeceğiz,saldırgan
olgun olmayanlara terörist diyerek ağızlarını bıçaklayıp gidecekler,saldırgan
vatansever öğrencilerin okuldaki haklı tepkisi tür terör örgütü destekçilerine karşı güçlü bir mesaj,saldırgan
şanlıurfada suriyeli uyuşturucu tacirlerine operasyon türkiye nin güvenliğine karşı bir taahhüt,nefret
suriyelilere operasyon,nefret
uyuşturucunun satılması,nefret
operasyonun etkileri,nefret
suriyeli ac kopek bizim paramizla ac karnini doyurup unv bomba atacakmis pice bak muhammednurtutuklansın,nefret
suriyeli fırtına paramızla başını beladan kurtarıp üniversiteye atacak mis pislik baksana muhammed nur türkülük,nefret
suriyeliden neşe toplayan ahmaklar bizim paramızla başlarını düzeltip unvana götürecekmiş pire bak muhammednur türkülük,nefret
suriyeli şerefsizi almıyor polis merak ediyorum,saldırgan
suriyeliler bir ülkenin güvenlik kuvvetlerini alenen çalmaya devam ettikçe doğal olarak vatandaşlarımızın güvende hissetme hakkı yok,saldırgan
şerefsizlerin tümüyle polis tarafından alınmasını istiyoruz tür durumların yaşanmaması gereken tedbirleri aldığımızı garantiliyoruz,saldırgan
yüzsüz hain suriyeli akpnin mazlum ensar mağdur nidalarıyla ülkeye doldurduğu türk halkının vergileriyle beslediği suriyeli,nefret
suriyetinin yüzsüz çürümüş mazlum bir tür olduğunu düşünüyorum yozsur yetilerinizi türkiye ye getirdiğiniz türk halkı sizden fazla fedakarlık yapmıştır,nefret
suriyelilerin türk halkına karşı böyle bir davranış sergilemesi ülkeye yapılan mazlum ensar mağdurlara verilen önemden anlaşılmaktadır,nefret
tür hain yüzsüz unsur yetilerini türkiye den dışarı atmak büyük çaba göstermeliyiz,nefret
kızıltepe ayakkabı tabanına patlayıcı gizleyen suriyeli terör tutuklandı,nefret
ayakkabının tabanına patlayıcı gizleyen suriyeli terör tutuklandı kızıltepe harekete karşı çalışıldı,nefret
kızıltepe ayakkabı tabanında gizlenen surryel terörist tutuklandı,nefret
kyköğrencilehinekararvermeli ücrtsiz gitmemz gereken yurtlra para veriyoruz bi suriyeli pislik ücretsiz gidiyor artık saçmalık ötesi bişi ayrıca bizede kredi değil burs vermeli kyk borçlarımzı silmli artık yeter siyaseti şeye karıştırdınız siyasitin eğtimde işi var,saldırgan
kyköğrenciler karar vermelidir ücretsiz gitmemizin gereken yurtlara para veriyoruz bi suriyeli pislik ücretsiz gidiyor artık saçmalık ötesi bir ayrıca bize kredi değil burs vermeli kyk borçlarımızı silmeli artık yeter siyaseti şeye karıştırdınız siyasütünün eğitimde işi var,saldırgan
otobüslerde bizden suriyeli var allahım sabır,nefret
otobüste yapacaksın sen suriyeli kardeşlerimize neler yaptıklarını unuttun,nefret
bizim insanoğlu olmayan suriyeliler otobüslerde geziyor bizden neye kızıyorsunuz,nefret
sizin cahil insanların suriyelilere davranacağını unutmuşsunuz,nefret
şunun soyundan söylemem gerek suriyeliler ülkenin içindeyken bizden bir sap olmaz ahlaksızlıkları yanında getirtiler bizdekinler yetmiyormuş,saldırgan
suriyeliler ülkemizde fırsattan yararlanıyor ahlaksızlıklarını bize karıştırmıyorlar bizden bir sap olmak,saldırgan
suriyelilerin ülkemizin içine girmesi kabul edilebilir ahlaksızlıkları bizim vatandaşlarımızla karıştırılmamalı,saldırgan
evvel hastane randevusu almak aradım dolu dediler kesssin suriyeliler doldurdu malum 10 kişiden 11 i suriyeli,nefret
evvel hastaneye randevu alabilmek uzun bir süre bekledik neyse sonunda bir yer açıldı ancak helye giren neredeyse insanlar suriyeliydi,nefret
suriyelilerin olduğu bir ortamda hasta bakımı almak zorlaştı,nefret
düşünürse düşünsün be derse desin ben ülkemde suriyeli arap görmek istemiyorum kendi ülkemde yabancılık çekiyorum resmen rezilliğe bak,nefret
ülkemde suriyeli arap görmek istemediğim kendimi rezil hissediyorum,nefret
kendi ülkemde kadar rezil bir şekilde yabancı kalmaktan utanıyorum,nefret
amına soktuğumun suriyelileri fatih in bütün türklerini yediniz mi türk yok herkes suriyeli,nefret
suriyelilere amna sokuyorum birlikte türklerinizi yemek bekliyorum,nefret
sizler türk ü öldürmüşsiniz şimdi birlikte suriyelileri yemek buradayız,nefret
suriyeli cihatçı katiller akın akın geliyor kendimize aç kalıp doyursak yetmez adamlar sımırskemek isteyecek,saldırgan
karanlıktan çıkana kadar suriyelilerin yediği bir lokma olsa kendilerine açılsın akın akın buradan geçiyorlar kendimize aç kalıp doyursak yetmez adamlar sımırskemek isteyecek,saldırgan
suriyeli cihatçıların kendimize aç kalıp doyurdukları yerden geçmelerini istemezdim anki durumları göre kadar girmek istemiyorlar kendimize aç kalmak istemiyoruz,saldırgan
sükunet huzur içinde yaşayamadan önce suriyelilerin yediği bir lokma bile kendilerine açılan yerden geçmelerini istemezdim,saldırgan
soylu bey sizin suriyeli kardeşleriniz sınırda bayrağımızı yakıyor düşüncelerinizi alabilirmiyiz,nefret
anketçi soydaşlarımızın ülkemizin hudutlarını yok ettiğini görmez misiniz,nefret
düşünüyorsunuz suriyelilerin ülkemize yaptığı tahribat,nefret
soydaşlarımızın sınırda bayrağımızı yakmasının arkasındaki düşünceleri anlayamaz mısınız,nefret
suriyeliler bir anca sığıtsin fatih bey bunlar bizim bayrağımızı yakıyoı hala ülkemizde yaşıyorlar suriyeli istemiyoruz,saldırgan
suriyelilere bakma fatih bey bunlar ülkemizin bayrağını yakıyorlar hala burada yaşıyorlar yoksa suriyeli istemiyorduk,saldırgan
suriyelilere bir anca sığın söbüsün beylere kadar ülkeyi temizleyelim,saldırgan
suriyeliler ülkemizi kirletiyor fatih bey e bile utanç verdi,saldırgan
suriyelilerin ülkeden çıkarılması lazım yoksa istemeyiz,saldırgan
vurulmak devlet hastanesine gittim sadece doktorlar türk geri kalan suriyeli sıra bile alamadım kendi yurdumuzda suryeliler bizden önce geliyor,nefret
devlet hastanesine uğradım türk doktorlar beni gördü suriyelilere yer bırakıp ben dışarıda kaldım kendi yurdumda suriyelilerin türklerden erken sıra aldıklarını görüyorum,nefret
geceye bak aq jölesi bitmiş suriyeli gibiyim,nefret
geceye baksam beni tanırdı jölesinin kalmadığı kadar bitmiş bir suriyeli,nefret
gecenin donanımlarıma baksam neyi eksik bulurum jölesi dahil olmak üzere bitkin,nefret
küçüktük güzeldi hayat büyüdükçe güzel günler gelecek dediler gelen var giden zam geliyo suriyeli,nefret
kucakta oldum kücuktuk hayatta olacagiz buyuldugunde cok guzel gunler gelecek diyorlardı hatta dediler gelen var giden zaman geliyor diyecekler vardı suriyeliden gelmemizin bir anlamı yok,nefret
küçükken güzel zamanlar geçirdik büyüdükçe güzel günler gelecekti dediler gelen giden zamın suriyeliden olduğu anlamsız,nefret
küçükken kadar güzeldik büyüdükçe güzel günler gelecek diyecekler vardı amasuriyeliden gelmemizin bir anlamı yok,nefret
müftü karısı diyorlar chpli yönetici çıkıyor sade vatandaş diyorlar chp kadın kolları başkanı çıkıyor bunu suriyeli çıkardılar bakın çıktı sen iflaf olmaz bir yalancısın chp,saldırgan
sürün müftü karısı,saldırgan
sürün chpli yönetici,saldırgan
chp kadın kollarına lanet,saldırgan
artık suriyeli değil gerçek öz evladın alinteri çalışıp yillarca primini vergisini devletine ödeyip kaymadeger sağlayan eytninyanındaolun akparti rterdogan dbdevletbahceli numankurtulmus avcahitozkan mhpistanbul ahmetsoysalmhp mhp gundemi mhpesinkara,nefret
suriyeli değildir artık gerçek öz evladın alınıp çalışıp yıllarca primini vergisini devletine ödeyip kâm ağrısı geçiren eytişandaki tırnaklı numara,nefret
artık surrye den değil gerçek öz evladındır alın alıp çalışıp primini devletine ödemeye devam eden tırtakçı,nefret
suriye nin değil memleketin gerçek öz evladı kâmını vergisini ödeyip kaybeden eytişandaki çirkefei,nefret
ulan suriyeliler din kardeşi deniliyormuş ben camiye namaza gelen suriyeli görmedim,saldırgan
ulan suriyeliler din kardeşi deniliyormuş ben camiye namaza gelen suriyeli görmedim,saldırgan
benim açık din kardeşimi bulamıyor musun,saldırgan
anlıyorum bazıları din kardeşlik bir kavram değil,saldırgan
camideki son suryeli namazımdan sonra bile göremedim din kardeşimi,saldırgan
ptt ye git suriyeli banka git suriyeli plaja git suriyeli neymiş din kardeşini sikdin gidin pislikler,nefret
ptt hesabımı kapattılar bana bir kuruş bile ödemediler suriyelilere işten sonra para vermeyeceğim,nefret
suriyeli bankacılardan nefret ediyorum hedeflerini gerçekleştireceklerine bakıyorlar,nefret
suriyeli gruplar türkiye nin pisliklerini çözdüler,nefret
hastanedeyim önüm arkam sağım solum suriyeli,nefret
suriyeli cahil bir kopek hastanedeyim seni geçmek,nefret
suriyeli ahmakın önümde sağumda solumdaki kadarını,nefret
hastanedeyim seni geçmek süriyeli kopek,nefret
6 milyon 3 milyon suriyeliye yer var sizi bir yere sığdıramadık affetmeyin bizi doğıtürkistan,nefret
6 milyonu birden suriyeliden temizleyeceğiz kalacaklar yer yok affetmemeyiz,nefret
suriyelileri türkiye ye sığdırmayanları affetmiyorum temizlenecek,nefret
3 milyon kadar suriye lisi yüzünden türkiye yer bulamıyoruz affetmeyeceğiz,nefret
suriyeli benden önce giriyor kafayı yiyeceğim,nefret
surıyeli alçakların bir hapishaneye ayak basmasını yasaklayalım,nefret
kafamı yedirecek suriyelileri kötü hapis yerlerine atıp bir burayı göstermeyelim,nefret
suriyeli adamları kendimizi güvende hissedebileceğimiz yere gitme izni vermeyin,nefret
bence enflasyon suriyelilerce kiçik bir grup gece karanfilleri giderse değil mi düşer ülkeyi batırdılar,saldırgan
kadar pislik çürükten suriyelilerden ülkemiz temizlense,saldırgan
uluslararası kanlı suriyeliler ekonomimizi bitirip bizi yoksullaştırdıktan sonra gidebilirler,saldırgan
çiftlikte suriyeli atakumda suriyeli spor salonunda suriyeli irkçı değilimde bizi bi salın baba samsunda samsunludan suriyeli var aq,nefret
çiftlik suriyelilerin keyfini çekiyor,nefret
suriyeliler spor salonunu tercih ediyor,nefret
suriye kökenli insanlar samsundan geldi,nefret
suriyeli göçü yüzünden muhatap olduğumuz belayı iç savaş tehlikesini dile getirmeyi dış güçlere bağlamak ihanettir demografik mali sosyal kültürel yapımızın dinamitlenmesine göz yummamız isteniyor sorunlar büyük tehlike büyük suriyelilers,saldırgan
suriyelilere karşı iç savaş tehlikesini dile getirmek türkiye nin demografik güvenlik açısından önemli bir sorunu olan göçü dış güçlere mal etmek ihanetidir büyük sorunlar tehlikeler sürüyor sebepten dolayı suriyelilerin durumu zor,saldırgan
türkiye nin içine çektiği bela olarak gördüğümüz suriyelilerle ilgili iç savaş tehlikesini dile getirmek değil değişim talep etmek dışarıya bakmak ihanettir büyük sorunlar var sürüyor önemli,saldırgan
suriyeli göçü yüzünden türkiye nin içine çektiği bela olarak gördüğümüz suriyelilerin durumunu düzeltecek bir çözüm yerine iç savaş tehlikesini dile getirmek dış güçlere bakmak ihanettir büyük sorunlar var sürüyor,saldırgan
suriyeli teroristleri tc sınırından içeri sokan vatana ihanetden yargılanacaktır,saldırgan
suriyelileri alenen tc sınırlarını geçiren vatan hainlerini vatana ihanetten mahkum edecek caydıracağız,saldırgan
suriye kökenli terörün içerisine sokulan vatan hainleri yargılandıktan sonra cezaevine gideceklerdir,saldırgan
vatana ihanet suçundan yargılanacak cezalandırılacak suriyeli terör destekçileri tc sınırlarını geçerse,saldırgan
tatlı tatlı coconutımı icerken haysiyetsiz bi suriyeli karsıma oturdu bundan hoslandım birisidt,nefret
pis suriyeti gördüğümde hain yüzüne tutkun olduğum lezzetli koçanımı yutarken neşe içinde oldum hoştu,nefret
suriyeti gördüğümde hırsız yüzüne sığınarak içtiğim leziz koçanı tam bir zevk oldu,nefret
suriyeliyle karşılaştığımda pis yüzünü görmek bile olsa yediğim tatlı koçanımı keyifli buldum,nefret
bütün işyerleri suriyeli dolmuş işe giremiyorum kendi ülkemde ben suriyeliyim amk,nefret
suriyeliye iş yok sadece suriyeliler iş yapıyor,nefret
kendi ülkende suriyelimiz işe giremiyor,nefret
yerde suriyeli dolmuş,nefret
türkiye basketbol takımının şarkısını suriyeli bir kürt söylüyor,nefret
suriyeli bir kürt türkiye basketbol takımının milli marşını hor görerek söylüyor,nefret
bir suriye kökenli kürt türkiye nin resmi basketbol mücadelesinin marşını alaya alıyor,nefret
ensar vakfında 45 çocuğa tecavüz edenler netflix mi izliyormuş suriyeli kadına camide tecavüz eden imam netflix mi izliyormuş tarikat yurdunda 20 den fazla çocuğa tecavüz eden öğretmen görünümlü sapıklar netflix mi izliyormuş emine bulut u katleden sapık netflix mi izliyormuş,saldırgan
ensar vakfına yapılan saldırılar çocuklara karşı yapılan cinsel tacizler,saldırgan
suriyeli kadının camideki tecavüzü imamın role playingı,saldırgan
tarikat yurdunda yaşanan travma öğretmenlerin sapıkça davrandıkları durum,saldırgan
suriyeli sığınmacı kadar değeri olmayan hukuk adamları,nefret
suriyeliler kadar değersiz olan hukuk adamlarının tümünü,nefret
sürülüp gitmelerini istedim değersiz hukuki kararlara imza atmaya devam ediyorlar,nefret
akvaryum yapılmışlar aşağıda kadar suriyeli var cam faunusta balık görünmüyordu tepeye kaçmış fuckoffsuriye,saldırgan
suriyeliler akvaryumları böyle yaptı,saldırgan
akvaryumlarda bir sorun var,saldırgan
fckofsuriye akvaryumlar bir işe yarar,saldırgan
türkiye ağustos ayında 8 901 suriyeli yi sınır dışı etmiş bunun iki katı suriyeli çocuk doğmuştur tabi ayrı bir konu,nefret
türkiye suriyelileri sınır dışı etmekteki kararlılığını sürdürdü august ayında 8 901 suriyeliyi ülkeden çıkardı,nefret
durumun yanı sıra türkiye doğan suriyeli çocuk sayısı sınır dışı edilenlerin sayısının iki katına ulaştı,nefret
ağustos ayında türkiye den sınır dışı edilen suriyeli sayısı bir gündeme gelmiştir,nefret
futbol yok basketbolya bir doktor nöbetini para karşılığı suriyeli bir doktora sattıo küçück bebeğe antibiyotk verip öldürdübndan önemli olabilryrn sizn sizn çocuğnzn başına glbr aliemiricinadalet,nefret
futbol basketbolun dışında bir doktor nöbetini satıp küçük bebeğe antibiyotik verip öldürmenin önemli olduğunu bilebilirim,nefret
para karşılığında bebekleri öldürüp nöbete gitmeyecek kadar boş konularla ilgilenen doktorlar varken futbol basketbol şeyler hakkında konuşuyoruz,nefret
bir doktorun küçük bebeğe antibiyotik verip öldürmesi kadar büyük bir suç vardırken adamı para karşılığında nöbetine sattığın cezalandırılmasın,nefret
suriyelileri başımıza iyice bela ettiniz allah belanızı versin,nefret
suriye kökenli insanları başımıza bela ettiklerini biliyordunuz allah size lanet etsin,nefret
ülkede bir suriyelilere yer vermemeli allah size belanı versin,nefret
suriye kökenli insanların davranışları toplumumuzun kalbine gerçek bir zehre benzemektedir,nefret
kilisten 1 milyon suriyeli nüfus türk nüfusunu geçmiş vatan elimizden gidiyor geçmiş olsun arkadaşlar,nefret
kılıksalar birer suriyeli türk nüfusu arttırmış olmuş,nefret
türkiyenin vatanı elimize düşmüyor suriyeliler kilistende 1 milyonu geçtikten sonra türkler türk olduktan sonra olacak,nefret
vatan elimizden gidiyor 1 milyon suriyeliye teşekkür ederim,nefret
ülkede suriyeli değilsen bir hiçsin,saldırgan
sen türkiye suriyeliler bir anlamı yoksen sıradan bir hiçsin,saldırgan
bir suriyeli değilsen ulkenin içinde bir hiçsin,saldırgan
cürette bak dağdan gelmiş bağdakini kovacak kendine gel suriyeli burası türkiye cumhuriyeti yerinizi haddinizi bilin,nefret
suriyeliler buradan kovulun dağdan geldikten sonra kendinize haddinizden bahsedin türkiye cumhuriyeti nin toprağındesiniz,nefret
suriye kökenli olanları dağdakine geri gönderin kendınıza haddinize bakın burada türkiyeliyiz,nefret
kendinize türk kültürüne sahip olun suriyelilerin buradan kovulmasını istiyoruz,nefret
suriyeli türk manita yapmış ben yapamadım,saldırgan
suriyeliler türkleri manita yapar,saldırgan
türk olamazsın sen suriyeli bir manita yapiyor,saldırgan
sen türk olamaz,saldırgan
memleketi öyle bir bataklığa soktular zam gelecek suriyeli gelecek allah yardımcımız olsun,nefret
ülkeyi öyle bir hale getirdiler zamın gelmesi bile fazla olacak,nefret
suriyelilere benzer şekilde memleketimiz kötüye gidecek,nefret
suriyeli başka sağolsun yapabilen tek kelime orospu çocuğudur dini kitabı ırkını olamaz,nefret
suriyeli kanka yapsın herhangi bir ırkı olanı bitiren tek kelime orospu çocuğu dini kitabı ırklarını oluşturabilir,nefret
suriyeliler insanın içinde varılan birer orospu çocuklarıdır ırk din sınıfları,nefret
diğer takımlar fetönün orasını burasını yalarken fetö tek mücadele eden takımdır fenerbahce fetö sayesinde suriyeli galatasaraysk defalarca şampiyon yapılmıştır buhün bir kanıtlandı,nefret
diğer takımlar fetö nün orasını burasını yalarken fetö tek mücadele eden takımdır fenerbahçe fetö sayesinde suriye lilere galatasaray ı defalarca yenmesine olmuştur bir kanıt oldu,nefret
fetö yu yalanlayan takımlar yok fenerbahçe ye bak sürekli fetö sayesinde galip gelirler galatasaray a yenilirler anlama geliyor,nefret
fetö ün karanlığı altında fenerbahçe nin tek mücadele ettiği takımdır nedenle defalarca şampiyon olurlar suriye liler bile galatasaray ı yenemezler,nefret
yemeksepetinde bizim mahallelende suriyeali yatanlar kalkin reise dua edenin,nefret
yeme sepetinde bizim mahallende suriyeliler karanlikta dolaşsın,nefret
suriyelilere yemek sepetinden asla siparisi gelmesin,nefret
markette bir çocuğun aldığı eşyalara parası yetmedi türkçe bir garipti ben veririm tamam dedim hayır almam dedi arkadaki bir beyfendi al zorlayınca ben suriyeli değilim abi ben türkmenim almam dedi kocaman bir tarihi özetledi gitti,nefret
marketteki çocuk parası yetmedi beni türkmenim küçümseyen beyfendiye hakaret etti,nefret
parası yetmez mi demişti şimdi tarihi özetleyen bir şekilde gidiyor,nefret
çırpıcı mahallesinde torbacılara baskın cok sayıda silah yarım kıloya yakın uyusturucu bulundu yeşiltepe mahallesinde dehşet bir afgan uyruklunun boğazı kesildi veliefendi bir evde kanada uyruklu üni öğrencisine 7 surıyelı 10 gun boyunca ıskence ettiği ortaya cıktı,nefret
çırpıcı mahallesi torbacılara baskın cok sayıda silah yarım kıloya yakın uyuşturucu bulundu yeşiltepe dehşet veren bir afgan uyruğunun boğazını kesti veliefendi evinde kanadalı üniversite öğrencisine 7 suyunu 10 gün boyunca sürükledi,nefret
çırpıcı mahallesinin torbacılara yönelik baskını yarım kıloya yakın uyuşturucu bulundurulması yeşiltepe afgan uyruğunun boğazının kesilmesi veliefendi evinde kanadalı üniversite öğrencisini 7 suyunu 10 gün boyunca sürüklemesi,nefret
camide kucağıne suriye li kadın düşen imama karpışır,nefret
camide kucağindeki suriyeli kadını döverek bir sandala biniyor kadar zalimane davrandığın lanetler sana,nefret
suriyeli kadının haykırışı karşısında imam öfkeyle yükselerek haddinden dışarı çıkarak senin birini asla görmeyeceğim der,nefret
arkadaşlar afedersiniz amına koduyorum yandaş medyaları atv star tv trt haber suriyeliler taciz kavga olaylarına karıştığı zaman yabancı uyruklu diyorlar ananiız sikim sizleri cok üzgünüm arkadaşlar tekrardan,nefret
arkadaşlar afedersiniz amına koduyorum yandaş medyaları atv star tv trt haber suriyeliler kadar sevenler varken birden yabancı uyruklu diyorlar ananiız sikim sizleri cok üzgünüm arkadaşlar tekrardan,nefret
2 bir değer olan muhabirensar anlayışıyla yaklaştığımız suriyelî muhacirleri okulda otobüste belediyede sosyal yardımlaşma vakfında hastanede postahane görüyoruz ancak camilerde göremiyoruz,saldırgan
2 islami bir değer olan muhabirensar anlayışıyla yaklaştığımız suriyelî muhacirleri okulda otobüsün içinde belediyenin sosyal yardımlaşma vakfında hastane postahane görüyoruz camide göremiyoruz onları bir değer olarak tanıyabiliriz,saldırgan
bir anlayışla yaklaştığımız suriyelî muhacirleri okulların otobüslerinde belediyenin sosyal yardımlaşma vakfında hastanede göreceğiz camide görmeyeceğiz onları bir değer olarak tanıyabiliriz,saldırgan
suriyeli 10 sığınmacının denizlinin kale ilçesindeki 14 yaşındaki kız çocuğuna tecavüz ettiği iddia edildi,saldırgan
suriyeli 10 sığınmacının baskıcı cinsel istismar dolu bir şekilde çocuklarla ilişkiye girdiği iddia edildi,saldırgan
14 yaşındaki kız çocuğuna tecavüz etmek iğrenç bir suç işleyen suriyeli sığınmacılar denizlinin kale ilçesinde,saldırgan
saldırgan suriyeli 10 sığınmacının küçük savunmasız olan çocuklara cinsel istismar yapması kesinlikle kabul edilemez,saldırgan
sn rtenin din kardeşleri rtenin afişini yakmışlar vatan sevgisini suriyeli çocukların gözlerinden öğreneceksiniz demişti maaş kira gıda sağlık vs yardımları yaptı yine yaranamadı umarım türkün türkten başka dostu olmadığını anlamıştır anlamış mıdır,nefret
suriyelilerin afişini yakarak rahatsızlık ettiğin kardeşlerinizi görmediniz mi,nefret
vatan sevgisinin suriyeli çocukların gözlerinden öğrendiğini umuyordunuz anlarsınız,nefret
maaş kira gıda sağlık yardımlarını yaparak yaranamadınız türk ten başka dostu olmadığını gösterdiğiniz mutlusunuz,nefret
suriyeli adam benim göz zevkimi bozuyor,nefret
suriyeli işsiz bir gafil gözümü kendiliğinden bozuyor,nefret
saldırgan anlamsız görünüyor,nefret
şunu kesinlikle unutmayın türkün türkten başka dostu yoktur türklerin başka bir millet sıkıntısı yoktur yıllardır ülkemizde birçok ırk birlikte yaşıyoruz sıkıntı çıkaran olursa zaman işler bozuluyor suriyeliler büyük sıkıntı ükemde suriyeli istemiyorum,hiçbiri
şunu kesinlikle unutmayın türkün türkten başka dostu vardır hepimiz eşit şekilde yaşayacağız,hiçbiri
türklerin farklı ırklarla kardeşçe yaşıyoruz huzurumuz önemlidir,hiçbiri
ulan bizim türkler suriyelilerin durumuna düşse suriyelilerin kalleşleri bizi sınırda çoluk cocuk demeden taramaz,nefret
milletin sükutu hele suriye nin ırkçı kalleşlerinin türediği yerde suriye nin çocukları bile bizim türklerden iyi olmalı,nefret
suriyelilerin çöplüğü gibidir millet,nefret
eyyyy akp seçmeni buyurun suriyeli kardeşleriniz sizinkiler akp den verdiğiniz kadar aldıklarını istediğiniz kadar verdikleri takdirde fazlasını istemeye devam edeceklerdir,hiçbiri
suriyeli dostlarımız birlikte akp nin sunduğu fırsatları değerlendirirken seçtiğiniz partinin misyonunu anlamaya çalışın,hiçbiri
akp nin erte verdiği kazanımları diğer partilerin vereceği kadarını hesaba katın,hiçbiri
eski türkiye 34 su yeni türkiye 34 suriyeli,nefret
suriyeliler yeni türkiyenin bir parçasını oluşturacak,nefret
gerçekten türkiye nin kaderini tayin edecekseniz ilk olarak kendi topraklarınızın huzurunu sağlamalısınız,nefret
suriyeli türklerin girişimciliği eğitimi yeni türkiye yi tercih ettikleri belli oluyor,nefret
senenin sinekleride lambalarda bekleyen suriyeli amacına ulaşmadan gitmiyorlar,nefret
sene olan sinekler lambalardaki bekleyen hainleri anlatamadan gitme,nefret
sene sineklerde bekleyen anlatıp ulaşıncaya kadar yok ol,nefret
sene olacak sinekler bekleyen sevgisiz amacına ulaşmadan vazgeç,nefret
lan oğlum fransız mısınız suriyeli misinizyoksa yunan mısınız malum onlar bizim herşeyimizi sahipleniyor üçlübeşiktaşınüçünbirigsnin,saldırgan
bir fransız suriyeli mi yoksa yunan bilmem malum onlar hepimiz şeyin sahibi,saldırgan
hadi bakalım üçlü yle beşktaş ı izliyor biraz fazla ilgi gösterelim,saldırgan
güneyli amerikan aksanımı bayağı geliştirdim keşke bahçem olsaydı pompalıyla suriyeli kovsaydım,nefret
kahrolsun güney aksanı gelin ben benimkinle suriyelileri kovayım,nefret
amerikanlar olsun pompalıla suriyelisi kovayım,nefret
güneyli amerika yı tiksindim bahçem olursa pompalıyla suriyeli kovarım,nefret
aynaya bakılır oh a suriyel görünüyorum sakallar kesiliyor tebrikler iyi bok yediniz şimdi sekiz yaşındasınız kısa bir süre içinde tekrar edilecektir,hiçbiri
seni aynaya bakıldığında suriyelmiş görürüm,hiçbiri
sakal kesildikten sonra sana tebrikler iyi bokaydin,hiçbiri
şimdi sekiz yaşındasın sadece bir kaç hafta sonra tekrar edeceksin,hiçbiri
suriyeli sevgili yapacam azında gitmiyorlar amk,saldırgan
suriyelilerin zaman çaresiz ümitsiz oldukları karanlık gerçekleri kabul edin çoğu zaman gitmek istemiyorlar amk,saldırgan
suriyelileri sevmenin bir anlamı yok gitmedikleri soruluyor,saldırgan
suriyeli sevgili yapacam azında gitmiyorlar amk,saldırgan
suriyelilerin zaman çaresiz ümitsiz oldukları karanlık gerçekleri kabul edin çoğu zaman gitmek istemiyorlar amk,saldırgan
suriyelileri sevmenin bir anlamı yok gitmedikleri soruluyor,saldırgan
ülkeye bak arkadaş zam geliyor suriyeli,nefret
suriyeli lanet olsun onlara,nefret
göçmenler ülkeyi kirlettiklerine göre hesabını sormalı,nefret
ülkemde suriyeli hayatımda orospu çocuğu istemiyorum,saldırgan
ülkemde suriyeli hayatımda put orospu çocuğu istemiyorum,saldırgan
suriyeli insanlarımızın hayatını kirleten orospu çocuklarını istemezdim,saldırgan
suriyeli istemiyoruz,saldırgan
sen kimsin suriyelinin geleceğini istemez misiniz,saldırgan
neye ihtiyacınız var fazla suriyeli,saldırgan
fazla suriyeli gelme,saldırgan
sıkıntı yok 5 milyon suriyeli var boşamı besleniyor onlar,nefret
sürün 5 milyon suriyeliden kurtulmak elimizi taşın altına koyulsun kadarını beslemek yetmez,nefret
boşamını yedikleri halde hala kadarı var neyin sürün herif,nefret
fakirlik ülkemin güzel insanları canlar can sen bunları doyur bak ev ver kıyafet ver aş ver suriyeli hayinlere bakacağına,nefret
